state,year,population,property_rates_all,rates_burglary,rates_larceny,rates_motor,violent_rates_all,rates_assault,rates_murder,rates_rape,rates_robbery,property_total_all,total_burglary,total_larceny,total_motor,violent_total_all,total_assault,total_murder,total_rape,total_robbery
Illinois,1978,11243000,4943.1,1350.7,2969.9,622.5,676.7,345.9,9.9,28.0,292.9,555753,151854,333910,69989,76084,38893,1108,3151,32932
Illinois,1979,11230000,5287.2,1440.6,3170.6,676.0,743.9,379.2,10.7,33.0,321.1,593750,161776,356062,75912,83540,42579,1203,3702,36056
Illinois,1980,11355062,5461.1,1559.6,3252.5,649.0,808.0,395.6,10.6,34.8,367.0,620107,177099,369319,73689,91753,44923,1205,3950,41675
Illinois,1981,11455000,5323.2,1511.5,3201.2,610.5,792.5,376.3,10.5,32.4,373.2,609767,173142,366696,69929,90781,43108,1205,3716,42752
Illinois,1982,11448000,5066.0,1373.8,3093.2,599.0,774.3,388.8,8.8,29.9,346.8,579954,157273,354106,68575,88644,44515,1005,3424,39700
Illinois,1983,11486000,4813.3,1292.4,2952.0,569.0,728.1,368.0,9.7,31.5,318.9,552857,148445,339061,65351,83629,42273,1112,3619,36625
Illinois,1984,11511000,4579.3,1173.4,2820.3,585.6,724.9,380.9,9.0,31.2,303.8,527124,135068,324649,67407,83441,43849,1033,3594,34965
Illinois,1985,11535000,4596.5,1135.8,2869.8,590.9,714.8,380.3,8.0,39.3,287.1,530205,131015,331030,68160,82448,43872,927,4529,33120
Illinois,1986,11533000,4746.0,1179.8,2937.9,628.3,808.9,433.5,8.9,41.2,325.3,548311,136306,339418,72587,93454,50083,1023,4765,37583
Illinois,1987,11582000,4620.3,1123.7,2957.1,539.5,796.2,435.2,8.3,38.4,314.3,535126,130147,342492,62487,92216,50400,967,4443,36406
Illinois,1988,11544000,4810.4,1128.7,3076.5,605.3,810.4,450.6,8.6,38.5,312.7,555316,130292,355148,69876,93557,52020,991,4449,36097
Illinois,1989,11658000,4793.3,1076.0,3109.9,607.4,845.9,465.4,9.0,35.7,335.7,558803,125441,362556,70806,98611,54261,1051,4161,39138
Illinois,1990,11430602,4967.7,1063.0,3262.0,642.8,967.4,523.6,10.3,39.4,394.0,567841,121506,372862,73473,110575,59850,1182,4505,45038
Illinois,1991,11543000,5092.9,1120.0,3317.5,655.3,1039.2,531.8,11.3,40.0,456.1,587868,129284,382942,75642,119955,61387,1300,4615,52653
Illinois,1992,11631000,4788.1,1077.3,3091.9,618.8,977.3,516.4,11.4,37.1,412.5,556900,125306,359618,71976,113664,60057,1322,4312,47973
Illinois,1993,11697000,4658.2,1015.5,3084.0,558.7,959.7,532.6,11.4,34.6,381.2,544869,118788,360730,65351,112260,62298,1332,4046,44584
Illinois,1994,11752000,4664.9,1005.1,3096.4,563.5,960.9,543.3,11.7,33.3,372.6,548222,118116,363888,66218,112928,63849,1378,3913,43788
Illinois,1995,11830000,4459.6,917.6,3019.0,523.0,996.1,618.5,10.3,36.5,330.8,527572,108555,357143,61874,117836,73163,1221,4313,39139
Illinois,1996,11847000,4429.6,913.2,3026.2,490.2,890.4,562.6,10.0,38.4,279.4,524777,108185,358515,58077,105482,66649,1179,4548,33106
Illinois,1997,11896000,4279.7,870.5,2943.3,465.9,861.4,536.7,9.2,37.1,278.4,509113,103550,350140,55423,102476,63842,1096,4415,33123
Illinois,1998,12045000,4050.8,811.9,2799.4,439.5,807.7,516.9,8.4,34.0,248.5,487915,97792,337191,52932,97291,62261,1008,4095,29927
Illinois,1999,12128370,3825.2,711.7,2646.3,467.2,689.5,428.9,7.7,35.4,217.4,463939,86317,320954,56668,83621,52020,939,4297,26365
Illinois,2000,12419293,3585.4,659.1,2521.6,404.7,653.8,408.5,7.2,31.6,206.5,445278,81850,313161,50267,81196,50731,898,3926,25641
Illinois,2001,12520227,3471.6,632.2,2450.1,389.2,633.1,394.1,7.8,32.0,199.1,434648,79158,306757,48733,79270,49347,982,4010,24931
Illinois,2002,12586447,3420.2,647.0,2417.1,356.0,601.9,358.4,7.6,34.7,201.1,430479,81440,304227,44812,75759,45114,961,4370,25314
Illinois,2003,12649087,3287.9,619.4,2339.4,329.1,556.4,328.1,7.1,33.1,188.0,415885,78345,295907,41633,70376,41506,895,4189,23786
Illinois,2004,12712016,3174.1,598.6,2257.9,317.6,545.7,328.7,6.1,33.2,177.6,403486,76088,287025,40373,69365,41783,780,4220,22582
Illinois,2005,12765427,3092.0,608.2,2175.0,308.0,552.0,330.3,6.0,33.8,182.2,394670,77635,277662,39373,70496,42158,770,4313,23255
Illinois,2006,12831970,3019.6,602.1,2124.2,293.3,541.6,318.4,6.1,31.8,185.3,387478,77259,272578,37641,69498,40858,780,4078,23782
Illinois,2007,12852548,2935.8,587.6,2084.5,263.7,533.2,315.7,5.9,31.9,179.7,377322,75524,267911,33887,68528,40573,752,4103,23100
Illinois,2008,12901563,2932.6,612.1,2068.1,252.5,525.4,300.9,6.1,31.9,186.4,378355,78968,266815,32572,67780,38818,790,4118,24054
Illinois,2009,12910409,2736.9,603.0,1927.3,206.6,497.2,283.4,6.0,30.2,177.6,353347,77850,248821,26676,64185,36588,773,3901,22923
Illinois,2010,12841980,2718.1,603.3,1889.7,225.1,444.9,256.8,5.5,23.9,158.7,349064,77472,242681,28911,57132,32976,704,3066,20386
Illinois,2011,12859752,2678.7,604.4,1845.8,228.5,424.0,237.1,6.1,23.6,157.2,344468,77719,237362,29387,54523,30495,781,3030,20217
Illinois,2012,12875255,2578.7,552.2,1826.9,199.5,414.8,230.0,5.8,27.7,151.2,332013,71101,235222,25690,53403,29618,744,3570,19471
Illinois,2013,12882135,204.0,2274.3,452.1,1659.8,380.2,137.6,5.5,33.1,25.4,26283,292983,58237,213813,48974,17722,706,4263,3276
Illinois,2014,12880580,213.7,2075.9,388.2,1552.2,370.0,118.8,5.3,32.3,23.9,27520,267385,50008,199926,47663,15299,685,4159,3081
Illinois,2015,12859995,224.6,1988.6,361.1,1490.2,383.8,115.9,5.8,37.5,27.6,28879,255729,46443,191634,49354,14910,744,4821,3549
Illinois,2016,12801539,2049.0,374.9,1518.6,155.5,436.3,250.5,8.2,38.3,139.3,262306,47989,194407,19910,55854,32065,1054,4908,17827
Illinois,2017,12802023,2011.4,339.5,1508.8,163.1,438.8,250.4,7.8,43.4,137.2,257497,43459,193157,20881,56180,32060,997,5556,17567
Illinois,2018,12741080,1932.8,306.7,1472.3,153.8,404.1,239.7,6.9,46.0,111.5,246264,39080,187591,19593,51490,30539,884,5859,14208
Illinois,2019,12671821,1846.5,271.7,1426.6,148.2,406.9,254.0,6.6,48.0,98.4,233984,34433,180776,18775,51561,32187,832,6078,12464
Indiana,1960,4662498,1469.1,460.8,840.7,167.6,84.6,40.6,4.4,5.1,34.5,68496,21486,39196,7814,3945,1892,204,240,1609
Indiana,1961,4711000,1546.8,470.4,899.6,176.8,85.8,37.6,4.1,5.3,38.8,72871,22162,42379,8330,4044,1773,192,250,1829
Indiana,1962,4715000,1713.9,470.5,1049.3,194.1,88.9,40.7,3.5,6.1,38.5,80810,22183,49473,9154,4191,1921,167,289,1814
Indiana,1963,4694000,1947.5,538.9,1195.7,213.0,102.7,44.5,2.8,8.1,47.3,91417,25294,56127,9996,4819,2090,130,380,2219
Indiana,1964,4825000,2047.2,534.7,1287.0,225.6,136.0,64.5,3.0,10.5,58.1,98778,25797,62098,10883,6564,3110,147,505,2802
Indiana,1965,4885000,2033.4,556.4,1230.6,246.5,137.1,65.6,3.5,10.6,57.4,99334,27178,60113,12043,6695,3204,173,516,2802
Indiana,1966,4918000,2189.8,627.5,1286.7,275.5,146.3,68.9,4.0,10.6,62.8,107692,30859,63282,13551,7196,3390,197,520,3089
Indiana,1967,5000000,2429.6,701.5,1389.3,338.9,162.9,67.8,3.8,12.7,78.7,121481,35074,69464,16943,8143,3389,188,633,3933
Indiana,1968,5067000,2718.4,743.9,1562.5,411.9,201.9,81.4,4.8,14.6,101.0,137739,37693,79174,20872,10229,4126,243,741,5119
Indiana,1969,5118000,2891.2,819.0,1677.8,394.5,198.1,82.7,5.0,16.9,93.6,147973,41916,85869,20188,10141,4234,255,864,4788
Indiana,1970,5193669,3250.3,925.8,1874.2,450.3,234.6,99.6,4.9,19.9,110.3,168811,48084,97338,23389,12184,5171,253,1031,5729
Indiana,1971,5274000,3275.7,969.0,1903.9,402.7,247.1,96.3,5.3,19.4,126.0,172758,51104,100414,21240,13031,5078,282,1025,6646
Indiana,1972,5291000,3164.6,948.4,1850.7,365.5,245.1,105.4,6.1,22.5,111.1,167440,50180,97921,19339,12968,5577,321,1192,5878
Indiana,1973,5316000,3469.1,1035.8,2043.3,389.9,257.6,118.2,7.3,23.3,108.8,184415,55064,108623,20728,13696,6284,388,1239,5785
Indiana,1974,5330000,4043.6,1254.6,2396.0,393.0,293.3,127.3,8.0,23.5,134.4,215524,66870,127706,20948,15631,6783,427,1255,7166
Indiana,1975,5311000,4578.6,1376.4,2813.9,388.3,332.8,143.3,8.5,24.3,156.8,243170,73103,149447,20620,17677,7609,449,1291,8328
Indiana,1976,5302000,4357.9,1215.6,2769.9,372.4,315.4,156.3,7.1,23.2,128.8,231055,64450,146859,19746,16721,8286,377,1228,6830
Indiana,1977,5330000,3962.3,1086.2,2498.7,377.4,310.6,153.5,7.4,26.5,123.2,211190,57894,133179,20117,16553,8181,395,1412,6565
Indiana,1978,5374000,4015.1,1108.3,2495.7,411.1,323.5,168.8,6.2,27.0,121.4,215770,59561,134119,22090,17383,9072,334,1451,6526
Indiana,1979,5400000,4263.4,1169.9,2660.5,433.0,338.0,165.9,8.3,31.1,132.7,230223,63176,143666,23381,18254,8958,448,1681,7167
Indiana,1980,5461103,4552.5,1313.3,2807.1,432.2,377.8,194.5,8.9,33.1,141.4,248619,71720,153297,23602,20633,10620,485,1808,7720
Indiana,1981,5466000,4198.2,1168.8,2690.0,339.3,341.6,176.0,7.1,29.6,129.0,229472,63887,147038,18547,18672,9618,388,1616,7050
Indiana,1982,5471000,4128.9,1088.8,2713.5,326.6,300.6,157.2,6.5,27.8,109.0,225894,59569,148454,17871,16444,8602,355,1521,5966
Indiana,1983,5479000,3846.0,988.3,2535.7,322.1,283.8,151.1,5.2,27.5,99.9,210725,54147,138929,17649,15547,8278,286,1509,5474
Indiana,1984,5498000,3624.2,928.0,2345.2,351.0,305.2,175.9,5.5,25.0,98.9,199258,51019,128941,19298,16781,9671,303,1372,5435
Indiana,1985,5499000,3604.7,914.6,2361.5,328.5,309.4,187.5,5.8,24.0,92.1,198220,50295,129861,18064,17014,10312,319,1318,5065
Indiana,1986,5504000,3547.1,886.7,2332.9,327.5,307.7,185.9,6.0,25.9,90.0,195233,48802,128404,18027,16937,10230,329,1424,4954
Indiana,1987,5531000,3791.3,946.7,2490.0,354.5,328.5,205.2,5.6,29.1,88.6,209695,52363,137722,19610,18169,11352,307,1609,4901
Indiana,1988,5575000,3770.0,935.2,2481.3,353.5,380.0,253.5,6.4,31.0,89.0,210177,52137,138335,19705,21187,14135,358,1731,4963
Indiana,1989,5593000,4033.5,969.1,2673.2,391.1,406.5,266.5,6.3,32.3,101.4,225592,54201,149514,21877,22735,14907,353,1804,5671
Indiana,1990,5544159,4209.4,943.3,2827.1,439.0,473.9,328.4,6.2,37.9,101.3,233376,52297,156741,24338,26275,18209,344,2103,5619
Indiana,1991,5610000,4312.5,977.1,2870.6,464.8,505.3,340.5,7.5,41.3,116.0,241930,54814,161039,26077,28349,19102,423,2318,6506
Indiana,1992,5662000,4178.5,952.1,2776.1,450.3,508.5,335.7,8.2,42.4,122.2,236584,53907,157181,25496,28791,19008,464,2398,6921
Indiana,1993,5713000,3976.0,852.0,2695.9,428.1,489.1,322.6,7.5,39.1,119.8,227149,48677,154016,24456,27941,18432,430,2234,6845
Indiana,1994,5752000,4067.7,850.5,2782.4,434.8,525.1,351.5,7.9,35.6,130.2,233975,48921,160043,25011,30205,20216,453,2046,7490
Indiana,1995,5803000,4106.8,821.6,2819.5,465.7,524.7,348.3,8.0,33.3,135.2,238317,47676,163618,27023,30451,20211,466,1930,7844
Indiana,1996,5841000,3961.2,783.8,2752.6,424.9,537.0,371.6,7.2,34.1,124.1,231376,45782,160777,24817,31366,21705,420,1992,7249
Indiana,1997,5864000,3951.6,821.7,2701.9,428.0,514.6,342.1,7.3,32.9,132.4,231723,48182,158442,25099,30179,20058,430,1928,7763
Indiana,1998,5899000,3738.4,789.2,2590.1,359.2,431.0,279.0,7.7,33.1,111.2,220529,46552,152790,21187,25423,16456,454,1952,6561
Indiana,1999,5942901,3391.4,714.5,2335.5,341.4,374.6,231.7,6.6,27.0,109.3,201547,42463,138794,20290,22261,13767,391,1607,6496
Indiana,2000,6080485,3402.8,676.1,2379.9,346.8,349.1,211.1,5.8,28.9,103.3,206905,41108,144707,21090,21230,12837,352,1759,6282
Indiana,2001,6126743,3452.9,697.9,2404.1,350.9,371.1,219.3,6.7,28.0,117.0,211548,42758,147291,21499,22734,13434,413,1716,7171
Indiana,2002,6156913,3394.0,692.0,2372.5,329.5,357.3,214.1,5.9,29.9,107.4,208965,42605,146073,20287,22001,13184,362,1843,6612
Indiana,2003,6199571,3355.7,670.7,2349.9,335.0,352.3,215.9,5.5,27.7,103.2,208039,41582,145686,20771,21842,13383,338,1720,6401
Indiana,2004,6226537,3403.6,677.2,2387.7,338.7,325.9,189.5,5.1,29.0,102.4,211929,42168,148670,21091,20294,11802,316,1803,6373
Indiana,2005,6266019,3460.0,698.3,2414.0,347.0,324.0,180.0,5.7,29.6,108.7,216778,43756,151278,21744,20302,11281,356,1856,6809
Indiana,2006,6313520,3449.5,721.3,2386.2,342.0,321.6,173.5,5.7,28.7,113.6,217783,45538,150655,21590,20303,10956,361,1811,7175
Indiana,2007,6345289,3370.8,732.6,2332.4,305.8,335.8,179.3,5.5,27.4,123.6,213887,46485,147999,19403,21310,11377,350,1738,7845
Indiana,2008,6376792,3350.3,765.4,2310.5,274.4,337.6,186.8,5.0,26.8,118.9,213639,48805,147334,17500,21525,11912,322,1711,7580
Indiana,2009,6423113,3112.3,761.0,2135.9,215.4,334.0,189.5,4.9,25.2,114.4,199907,48880,137190,13837,21455,12175,312,1621,7347
Indiana,2010,6490622,3070.2,748.3,2113.9,208.0,323.3,191.0,4.1,27.1,101.1,199274,48570,137204,13500,20983,12396,268,1760,6559
Indiana,2011,6516353,3161.5,776.1,2158.1,227.4,331.8,193.0,4.7,27.0,107.1,206016,50571,140630,14815,21619,12578,306,1758,6977
Indiana,2012,6537334,3029.2,728.3,2092.0,209.0,345.7,214.6,4.7,25.5,100.9,198032,47612,136759,13661,22602,14027,310,1667,6598
Indiana,2013,6570902,211.3,2854.0,653.0,1984.9,357.4,108.2,5.4,32.6,25.0,13882,187536,42909,130423,23487,7108,355,2142,1646
Indiana,2014,6596855,222.6,2649.4,559.3,1880.0,365.3,104.5,5.0,33.1,24.5,14686,174776,36893,124022,24099,6897,330,2186,1615
Indiana,2015,6619680,238.2,2596.0,519.8,1872.0,387.5,107.4,5.6,36.3,27.0,15765,171847,34410,123918,25653,7111,373,2404,1789
Indiana,2016,6633053,2589.4,514.0,1853.3,222.1,404.7,249.9,6.6,37.7,110.5,171759,34097,122931,14731,26845,16575,439,2501,7330
Indiana,2017,6666818,2416.9,452.1,1733.8,231.0,399.0,254.6,6.0,39.4,99.0,161132,30140,115591,15401,26598,16976,397,2625,6600
Indiana,2018,6691878,2179.3,377.6,1572.7,229.1,382.3,251.6,6.5,35.4,88.7,145838,25268,105242,15328,25581,16834,438,2370,5939
Indiana,2019,6732219,1971.0,323.7,1443.4,203.8,370.8,249.3,5.6,36.8,79.2,132694,21795,97176,13723,24966,16783,377,2475,5331
Iowa,1960,2757537,1100.1,231.2,792.9,76.0,23.8,8.6,0.6,3.7,10.9,30335,6375,21865,2095,656,236,17,102,301
Iowa,1961,2779000,1057.6,228.7,759.1,69.8,23.1,8.5,1.3,2.9,10.5,29392,6356,21096,1940,643,235,36,81,291
Iowa,1962,2777000,1117.4,263.8,780.3,73.4,20.1,6.7,1.1,3.8,8.6,31031,7326,21668,2037,559,185,31,105,238
Iowa,1963,2780000,1156.7,270.4,804.8,81.5,22.6,8.7,1.3,3.6,9.1,32155,7516,22374,2265,629,241,35,100,253
Iowa,1964,2756000,1319.9,290.4,933.7,95.8,36.5,19.0,1.3,5.0,11.2,36376,8004,25733,2639,1007,525,35,137,310
Iowa,1965,2760000,1358.9,304.3,950.0,104.7,38.7,20.1,1.3,4.5,12.8,37507,8398,26220,2889,1067,554,36,123,354
Iowa,1966,2747000,1599.6,336.5,1131.2,131.9,44.2,25.0,1.6,4.8,12.8,43941,9245,31074,3622,1214,688,43,132,351
Iowa,1967,2753000,1822.6,431.6,1235.8,155.2,58.4,30.3,1.5,5.6,21.0,50176,11881,34022,4273,1608,833,42,155,578
Iowa,1968,2748000,2075.2,474.1,1436.5,164.6,68.5,35.0,1.7,6.8,25.0,57026,13027,39476,4523,1882,962,48,186,686
Iowa,1969,2781000,2183.5,489.1,1516.9,177.5,69.0,38.8,1.4,6.4,22.4,60724,13603,42184,4937,1918,1079,39,178,622
Iowa,1970,2825041,2425.8,507.3,1743.4,175.0,79.3,42.8,1.9,6.2,28.5,68529,14331,49253,4945,2241,1208,54,175,804
Iowa,1971,2852000,2526.6,531.6,1841.8,153.3,98.9,57.8,1.8,8.9,30.4,72060,15160,52528,4372,2822,1649,52,255,866
Iowa,1972,2883000,2444.4,521.6,1753.7,169.1,87.4,50.3,1.7,8.6,26.7,70471,15037,50560,4874,2519,1451,50,248,770
Iowa,1973,2904000,2729.3,634.0,1904.6,190.7,102.3,55.9,2.2,11.3,32.9,79260,18412,55310,5538,2970,1624,63,329,954
Iowa,1974,2855000,3292.6,791.5,2282.1,219.1,121.0,60.4,1.9,10.1,48.7,94005,22597,65153,6255,3455,1724,54,287,1390
Iowa,1975,2870000,3768.0,818.5,2719.8,229.7,140.7,74.4,2.5,10.3,53.5,108142,23492,78057,6593,4039,2135,71,297,1536
Iowa,1976,2870000,3918.6,827.1,2884.6,206.9,132.9,78.7,2.3,10.7,41.1,112463,23737,82788,5938,3813,2259,67,307,1180
Iowa,1977,2879000,3717.5,812.5,2685.1,219.9,144.0,89.8,2.3,10.6,41.2,107027,23392,77304,6331,4145,2585,67,306,1187
Iowa,1978,2896000,3818.7,870.6,2712.9,235.1,161.4,101.6,2.6,10.4,46.9,110589,25214,78567,6808,4674,2943,74,300,1357
Iowa,1979,2903000,4120.6,922.1,2928.8,269.7,181.2,117.7,2.2,11.0,50.2,119620,26768,85023,7829,5259,3417,65,320,1457
Iowa,1980,2907804,4546.4,1079.5,3219.1,247.8,200.4,129.0,2.2,14.3,54.9,132200,31390,93605,7205,5826,3751,63,416,1596
Iowa,1981,2897000,4512.4,1067.5,3221.7,223.2,204.2,134.5,2.6,13.4,53.6,130723,30925,93333,6465,5915,3896,76,389,1554
Iowa,1982,2905000,3963.8,947.8,2842.3,173.7,172.7,121.8,2.3,12.5,36.2,115148,27535,82568,5045,5018,3538,67,362,1051
Iowa,1983,2905000,3737.9,915.6,2664.4,157.9,181.1,125.2,2.3,12.6,41.0,108587,26599,77402,4586,5262,3637,68,365,1192
Iowa,1984,2910000,3600.9,871.4,2571.1,158.4,198.7,145.5,2.0,12.9,38.3,104785,25357,74818,4610,5781,4233,59,375,1114
Iowa,1985,2884000,3731.2,913.6,2664.2,153.4,211.7,156.1,1.9,12.6,41.2,107607,26349,76835,4423,6106,4501,55,363,1187
Iowa,1986,2851000,3915.6,956.0,2801.3,158.3,235.1,178.8,1.8,12.5,42.0,111633,27255,79864,4514,6703,5099,51,356,1197
Iowa,1987,2834000,3909.0,917.8,2840.1,151.1,231.2,181.1,2.1,11.9,36.2,110781,26010,80489,4282,6553,5132,59,337,1025
Iowa,1988,2834000,3819.8,854.3,2803.4,162.2,256.8,199.5,1.7,15.7,39.9,108254,24211,79447,4596,7279,5654,47,446,1132
Iowa,1989,2840000,3815.1,846.9,2809.9,158.3,266.3,209.2,1.9,16.2,39.0,108349,24052,79801,4496,7563,5942,54,459,1108
Iowa,1990,2776755,3801.2,808.4,2822.9,169.9,299.7,240.1,1.9,18.4,39.2,105550,22448,78384,4718,8321,6668,54,510,1089
Iowa,1991,2795000,3830.7,832.5,2827.5,170.7,303.3,235.4,2.0,20.9,45.0,107069,23267,79030,4772,8477,6580,57,583,1257
Iowa,1992,2812000,3679.2,753.8,2766.3,159.1,278.0,218.0,1.6,18.8,39.6,103459,21197,77788,4474,7816,6131,44,528,1113
Iowa,1993,2814000,3521.0,730.7,2599.4,190.8,325.5,244.8,2.3,24.4,53.9,99080,20562,73148,5370,9159,6890,66,686,1517
Iowa,1994,2829000,3339.5,667.1,2492.3,180.1,315.1,243.0,1.7,23.5,46.9,94475,18872,70507,5096,8914,6874,47,666,1327
Iowa,1995,2842000,3747.5,757.5,2767.2,222.8,354.4,277.8,1.8,21.8,53.0,106504,21527,78645,6332,10071,7894,51,619,1507
Iowa,1996,2852000,3376.4,664.6,2520.8,191.1,272.5,205.9,1.9,19.7,45.1,96296,18954,71893,5449,7771,5871,53,561,1286
Iowa,1997,2852000,3505.8,771.5,2500.0,234.3,310.0,232.0,1.8,20.3,55.9,99986,22003,71301,6682,8841,6617,52,579,1593
Iowa,1998,2862000,3189.1,673.7,2306.6,208.7,311.5,233.3,1.9,25.4,50.9,91272,19282,66016,5974,8916,6678,54,728,1456
Iowa,1999,2869413,2943.6,592.9,2171.7,179.0,280.0,214.7,1.5,27.2,36.6,84463,17012,62316,5135,8034,6160,43,780,1051
Iowa,2000,2926324,2967.3,558.4,2225.2,183.6,266.4,205.1,1.6,23.1,36.6,86834,16342,65118,5374,7796,6003,46,676,1071
Iowa,2001,2931967,3023.0,575.9,2259.4,187.8,268.2,205.1,1.7,22.1,39.4,88634,16885,66244,5505,7865,6012,50,649,1154
Iowa,2002,2935840,3163.6,635.0,2330.2,198.3,285.7,217.2,1.5,27.1,39.8,92877,18643,68411,5823,8388,6378,44,797,1169
Iowa,2003,2941976,2976.0,595.3,2189.0,191.7,277.9,210.7,1.7,27.1,38.4,87554,17515,64400,5639,8175,6198,50,796,1131
Iowa,2004,2952904,2904.8,607.1,2106.9,190.8,287.8,220.6,1.5,26.5,39.3,85775,17928,62214,5633,8499,6513,44,782,1160
Iowa,2005,2965524,2845.0,611.9,2048.0,186.0,293.0,224.5,1.3,28.6,38.9,84370,18147,60723,5500,8697,6657,40,847,1153
Iowa,2006,2982085,2823.6,609.0,2045.5,169.1,285.7,210.8,1.8,29.2,43.9,84202,18160,60998,5044,8521,6286,55,871,1309
Iowa,2007,2988046,2648.3,574.8,1908.2,165.3,300.2,222.0,1.3,32.5,44.4,79133,17176,57018,4939,8970,6633,39,970,1328
Iowa,2008,3002555,2440.4,552.8,1741.8,145.7,288.1,212.8,2.6,31.2,41.6,73273,16598,52299,4376,8651,6388,77,937,1249
Iowa,2009,3007856,2329.9,545.9,1654.2,129.8,282.1,211.3,1.3,29.6,39.9,70080,16419,49757,3904,8485,6356,38,890,1201
Iowa,2010,3050202,2253.6,549.0,1580.0,124.6,268.5,205.2,1.2,28.9,33.2,68740,16746,48194,3800,8191,6258,38,883,1012
Iowa,2011,3064097,2351.2,573.5,1647.2,130.5,257.3,200.7,1.4,28.3,26.9,72043,17573,50472,3998,7883,6149,44,866,824
Iowa,2012,3074186,2271.8,556.1,1584.8,130.9,263.9,202.8,1.5,28.3,31.3,69839,17096,48720,4023,8112,6234,45,871,962
Iowa,2013,3090416,204.6,2193.9,513.5,1543.0,271.4,30.4,1.4,35.0,24.5,6323,67800,15868,47686,8388,939,43,1083,757
Iowa,2014,3107126,201.6,2093.8,464.4,1495.8,273.5,33.6,1.9,36.3,26.6,6264,65056,14428,46477,8497,1045,60,1128,828
Iowa,2015,3123899,213.2,2047.3,476.7,1431.6,286.1,33.5,2.3,37.0,27.2,6661,63957,14892,44723,8936,1047,72,1156,851
Iowa,2016,3134693,2086.0,479.5,1447.6,159.0,290.6,212.0,2.3,39.8,36.6,65391,15030,45378,4983,9110,6644,71,1247,1148
Iowa,2017,3145711,2125.3,479.3,1468.6,177.4,293.4,211.0,3.3,39.2,39.8,66855,15078,46198,5579,9230,6639,104,1234,1253
Iowa,2018,3156145,1691.5,352.6,1190.4,148.5,250.1,187.9,1.7,30.9,29.5,53385,11127,37571,4687,7893,5931,54,976,932
Iowa,2019,3155070,1733.7,371.1,1199.6,163.0,266.6,200.4,1.9,36.9,27.4,54699,11710,37847,5142,8410,6323,60,1164,863
Kansas,1960,2178611,1336.6,353.7,895.8,87.2,58.4,31.6,2.9,5.0,18.8,29120,7705,19515,1900,1272,689,64,109,410
